puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
IZvdRhhdQDd3IfoIKYMUNKFPvkHfnT4ZbB0pUv6yD8uFEvGQgeBUPPn8V2i8ERaRWZ6e3t1MY6QTCA,271,DIAMOND,I,37,12,24,3.0833333333333335,2.0,4.083333333333333,5.083333333333333,3.0,569,591,663,0.9627749576988156,1.1218274111675126,1.523688663282572,2.0846023688663284,1.4390243902439024
MthqgMf5grDoCHGW65Zq-IMkEOEry9MdYukEi_KWQn-8pDSJ_RUBBxU-xikcYgjdOOHh5ju1zIjXJg,10,UNRANKED,UNRANKED,3,15,18,0.2,1.2,0.8,1.4,2.0,,,,,,,,
gdpDHieN8FF02c7g3__KdoOGdMP3QmeIlUm2IUuvvUULbOszrekUseSaxBVYf37QZ47GYybKa32HTw,1095,UNRANKED,UNRANKED,123,28,52,4.392857142857143,1.8571428571428572,5.321428571428571,6.25,3.0,209,88,96,2.375,1.0909090909090908,2.9204545454545454,3.465909090909091,1.3333333333333333
KsphIJaE9iowz6yUPqYmqNCNFGhRcFlINYDWOuGhbejdOKx4zfNt53S69LdyRRBzlxsUC2Kp3YzhYQ,3,UNRANKED,UNRANKED,166,302,261,0.5496688741721855,0.8642384105960265,0.9817880794701986,1.413907284768212,0.8181818181818182,,,,,,,,
smQf29p184_luhtwKp6VzsWfeSFRMI8pw-kBMUTXm6DF3lm8cYInTGJ-yKmzV0jYA7XgP4CPGQI08Q,12,UNRANKED,UNRANKED,17,11,66,1.5454545454545454,6.0,4.545454545454546,7.545454545454546,3.0,,,,,,,,
mP_9igiPXP-kYOpHMqyimvV4Olgm7x6MVU6BniJfXTyT6NS8CvgEkQxJsXlepwypP9lMGsobN3OYUg,221,UNRANKED,UNRANKED,110,57,140,1.9298245614035088,2.456140350877193,3.1578947368421053,4.385964912280702,0.8461538461538461,,,,,,,,
eEAP92Vztt9NEN0ueRiZrvPmcZY5_dGPqkPg-mAyXVDMb0N1tD-UEMqraBIo7xEEypUuwZlZ_fvegg,312,GOLD,IV,512,675,565,0.7585185185185185,0.837037037037037,1.177037037037037,1.5955555555555556,0.8181818181818182,593,732,847,0.8101092896174863,1.157103825136612,1.3886612021857923,1.9672131147540983,0.8490566037735849
dqRGRAGySdB06aNCgQqm-6ur3RUTZt0aV2gb5U49p6LYG55PwcaPGQ0SS2REvVMuyU9af-h1rfH5ng,408,UNRANKED,UNRANKED,215,241,432,0.8921161825726142,1.7925311203319503,1.7883817427385893,2.684647302904564,1.380952380952381,93,151,80,0.6158940397350994,0.5298013245033113,0.8807947019867549,1.1456953642384107,0.5384615384615384
PxA2BgDafrSysP8SBls4pF2JYFGtP24WQuoT66jxBHLssqi6EeeOPGBBJbLHd8UJdIZxoraw64_7vA,39,UNRANKED,UNRANKED,376,300,261,1.2533333333333334,0.87,1.6883333333333332,2.1233333333333335,0.6756756756756757,73,43,74,1.697674418604651,1.7209302325581395,2.558139534883721,3.4186046511627906,1.0
oRh3dY0lmWc3zO0SMPZknivwGJndUHOt2uou-_XcXWeKox-NzIPFB6Cz1mP6mFdaXbOxAOEzOlIe3w,684,GOLD,I,34,45,41,0.7555555555555555,0.9111111111111111,1.211111111111111,1.6666666666666667,0.75,711,634,533,1.1214511041009463,0.8406940063091483,1.5417981072555205,1.9621451104100947,0.7857142857142857
